G11_shinriki
06.09.2021
19:37:54
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

2,378E+0 3,738E-1 2,742E-1 0,000E+0 0,000E+0 7,327E+3 1,250E-9
2,389E+0 3,743E-1 2,818E-1 0,000E+0 0,000E+0 7,357E+3 1,473E-9
2,399E+0 3,750E-1 2,894E-1 0,000E+0 0,000E+0 7,387E+3 1,239E-9
2,407E+0 3,750E-1 2,969E-1 0,000E+0 0,000E+0 7,417E+3 2,071E-9
2,415E+0 3,748E-1 3,047E-1 0,000E+0 0,000E+0 7,447E+3 2,376E-9
2,422E+0 3,740E-1 3,121E-1 0,000E+0 0,000E+0 7,477E+3 1,773E-9
2,427E+0 3,731E-1 3,197E-1 0,000E+0 0,000E+0 7,508E+3 9,597E-10
2,432E+0 3,717E-1 3,271E-1 0,000E+0 0,000E+0 7,538E+3 9,112E-10
2,436E+0 3,700E-1 3,341E-1 0,000E+0 0,000E+0 7,568E+3 1,290E-9
2,439E+0 3,677E-1 3,414E-1 0,000E+0 0,000E+0 7,598E+3 1,973E-9
2,441E+0 3,651E-1 3,491E-1 0,000E+0 0,000E+0 7,628E+3 1,252E-9
2,443E+0 3,623E-1 3,560E-1 0,000E+0 0,000E+0 7,658E+3 9,519E-10
2,444E+0 3,590E-1 3,628E-1 0,000E+0 0,000E+0 7,688E+3 2,460E-9
2,443E+0 3,549E-1 3,699E-1 0,000E+0 0,000E+0 7,718E+3 2,235E-9
2,443E+0 3,513E-1 3,764E-1 0,000E+0 0,000E+0 7,748E+3 9,019E-10
2,441E+0 3,465E-1 3,835E-1 0,000E+0 0,000E+0 7,778E+3 6,868E-10
2,439E+0 3,414E-1 3,898E-1 0,000E+0 0,000E+0 7,808E+3 1,020E-9
2,436E+0 3,359E-1 3,962E-1 0,000E+0 0,000E+0 7,838E+3 1,077E-9
2,433E+0 3,302E-1 4,021E-1 0,000E+0 0,000E+0 7,868E+3 8,306E-10
2,428E+0 3,239E-1 4,082E-1 0,000E+0 0,000E+0 7,898E+3 1,779E-9
2,424E+0 3,175E-1 4,141E-1 0,000E+0 0,000E+0 7,928E+3 2,384E-9
2,418E+0 3,103E-1 4,199E-1 0,000E+0 0,000E+0 7,958E+3 1,094E-9
2,412E+0 3,029E-1 4,253E-1 0,000E+0 0,000E+0 7,988E+3 1,147E-9
2,405E+0 2,955E-1 4,303E-1 0,000E+0 0,000E+0 8,018E+3 1,059E-9
