angel	 rel signal 	s (std. deviation)	angle ber
66.94	0.91697	0.00063	45.82
66.95	0.89865	0.00052	45.83
66.96	0.87771	0.00065	45.84
66.97	0.84945	0.00088	45.85
66.98	0.78781	0.00071	45.86
66.99	0.33869	0.00563	45.87
67	0.001	0.00517	45.88
67.01	0.00295	0.0052	45.89
67.02	0.00666	0.00629	45.9
67.03	0.00914	0.00544	45.91
67.04	0.01095	0.00567	45.92
67.05	0.01371	0.00651	45.93
67.06	0.03569	0.00936	45.94
67.07	0.66774	0.00446	45.95
67.08	0.81363	0.00066	45.96
67.09	0.85741	0.00069	45.97
67.1	0.88414	0.00073	45.98
67.11	0.90422	0.00081	45.99
67.12	0.92131	0.00063	46
67.13	0.93393	0.00082	46.01
67.14	0.9456	0.00094	46.02
67.15	0.95541	0.00078	46.03
67.16	0.96527	0.00073	46.04
67.17	0.97409	0.00069	46.05
67.18	0.98046	0.00076	46.06
67.19	0.98689	0.00078	46.07
67.2	0.9901	0.00073	46.08
67.21	0.99046	0.00077	46.09
67.22	0.98906	0.00068	46.1
67.23	0.98553	0.00049	46.11
67.24	0.97888	0.00053	46.12
67.25	0.97033	0.00094	46.13
67.26	0.96201	0.00063	46.14
67.27	0.95247	0.00072	46.15
67.28	0.93935	0.00059	46.16
67.29	0.93036	0.0008	46.17
67.3	0.91548	0.00093	46.18
67.31	0.89766	0.00099	46.19
67.32	0.87663	0.00054	46.2
67.33	0.85072	0.00082	46.21
67.34	0.81345	0.00066	46.22
67.35	0.71577	0.00129	46.23
67.36	0.05979	0.00384	46.24
67.37	0.0043	0.00521	46.25
67.38	0.00515	0.00491	46.26
67.39	0.00702	0.00445	46.27
67.4	0.0408	0.00466	46.28
67.41	0.39888	0.00386	46.29
67.42	0.77953	0.00092	46.3
67.43	0.82896	0.00097	46.31
67.44	0.86455	0.00092	46.32
67.45	0.88703	0.00086	46.33
67.46	0.90223	0.00054	46.34
67.47	0.92081	0.00066	46.35
67.48	0.93307	0.0011	46.36
67.49	0.94519	0.00071	46.37
67.5	0.95649	0.00054	46.38
67.51	0.96558	0.00077	46.39
67.52	0.97463	0.00052	46.4
67.53	0.98137	0.00058	46.41
67.54	0.98788	0.00067	46.42
67.55	0.99086	0.00079	46.43
67.56	0.99136	0.00077	46.44
67.57	0.99005	0.00103	46.45
67.58	0.98765	0.00094	46.46
67.59	0.98083	0.00071	46.47
67.6	0.97327	0.00087	46.48
67.61	0.96631	0.00104	46.49
67.62	0.95713	0.00067	46.5
67.63	0.94474	0.00093	46.51
67.64	0.9347	0.00091	46.52
67.65	0.92339	0.00073	46.53
67.66	0.91159	0.00072	46.54
67.67	0.89142	0.00059	46.55
67.68	0.87532	0.00088	46.56
67.69	0.85433	0.00087	46.57
67.7	0.82937	0.00107	46.58
